input_text,category
PHP developer ,Field of Expertise
7 years,Years of Experience
Brash General,Applied for
Ismer Corp,Previous Company
quality assurance manager,Field of Expertise
12 years,Years of Experience
Jabbr Ltd.,Applied for
Opendoor Solutions,Previous Company
IT process improvement measures,Field of Expertise
8 years,Years of Experience
 3+,Years of Experience
large cloud services agency,Previous Company
IT technician,Field of Expertise
Lansing,Applied for
 4+,Years of Experience
global technology firm,Previous Company
IT consultant,Field of Expertise
Aditya Birla  Group,Applied for
5+,Years of Experience
XYZ Global,Previous Company
IT Specialist ,Field of Expertise
 ABC Corp ,Applied for
5 months,Years of Experience
XYZ Global,Previous Company
database administration,Field of Expertise
Acme Inc,Applied for
7 months,Years of Experience
IndyTechs,Previous Company
Java solutions,Field of Expertise
ByteSyzed,Applied for
10+ years,Years of Experience
Silicon Valley-based ecommerce firm,Previous Company
 IT program manager,Field of Expertise
 Ellipsum,Applied for
5+ years ,Years of Experience
 Oracle,Previous Company
 IT program manager,Field of Expertise
 Ellanor,Applied for
5+ years ,Years of Experience
"Flexor, Inc",Previous Company
full stack web developer,Field of Expertise
Webby,Applied for
10 months,Years of Experience
Equip Corp,Previous Company
web developer,Field of Expertise
 7 years,Years of Experience
CodeNode,Previous Company
AngularJS,Field of Expertise
CodeBug,Applied for
Litman Analytics,Previous Company
DevOps engineer,Field of Expertise
Subwhite Corp,Applied for
web designer,Field of Expertise
6+ years,Years of Experience
Dujo International,Applied for
web designer,Field of Expertise
6+ years,Years of Experience
Dujo International,Applied for
Amphimia Global,Previous Company
test engineer ,Field of Expertise
6 years,Years of Experience
CodeSave,Applied for
ETL tester,Field of Expertise
6+ years,Years of Experience
Drip Technologies,Applied for
LundGeek,Previous Company
cyber security analyst,Field of Expertise
3+ years,Years of Experience
government security software contractor,Previous Company
marketer manager,Field of Expertise
5+ years,Years of Experience
LinkedIn,Previous Company
 Human Resources Manager,Field of Expertise
7+ years,Years of Experience
XYZ Office,Previous Company
listing programmer,Field of Expertise
3+ years,Years of Experience
Takeda Pharmaceuticals,Previous Company
Piper Companies’,Applied for
digital marketing,Field of Expertise
6+ years,Years of Experience
Walmart,Previous Company
Nestlé,Applied for
operational efficiency,Field of Expertise
10+ years,Years of Experience
4+,Years of Experience
Aditya Birla  Group,Applied for
IT consultant,Field of Expertise
,Years of Experience
4+,Years of Experience
Aditya Birla  Group,Applied for
IT consultant,Field of Expertise
,Years of Experience
